"#name EquipattrStash","#unique id","#collector stashId","","",""
"id","stashId","type","max","weight","score"
"int","int","int","int","int","int"
"*","*","*","*","*","*"
"序号","库id","属性类型","Max属性值","随机权重","评分"
"1","101001","202","79","500","100"
"2","101001","203","10","500","100"
"3","101001","205","200","500","100"
"4","101001","206","200","500","100"
"5","101001","208","200","500","100"
"6","101001","215","200","500","100"
"7","101001","209","200","500","100"
"8","101001","210","200","500","100"
"9","101001","211","400","500","100"
"10","101001","212","400","500","100"
"11","101001","243","400","500","100"
"12","101001","222","10","500","100"
"13","101001","214","10","500","100"
"14","101001","213","200","500","100"
"15","101001","216","200","500","100"
"16","101001","221","200","500","100"
"17","101002","202","79","500","100"
"18","101002","203","10","500","100"
"19","101002","205","200","500","100"
"20","101002","206","200","500","100"
"21","101002","208","200","500","100"
"22","101002","215","200","500","100"
"23","101002","209","200","500","100"
"24","101002","210","200","500","100"
"25","101002","211","400","500","100"
"26","101002","212","400","500","100"
"27","101002","243","400","500","100"
"28","101002","222","10","500","100"
"29","101002","214","10","500","100"
"30","101002","213","200","500","100"
"31","101002","216","200","500","100"
"32","101002","221","200","500","100"
"33","101002","223","300","1000","100"
"34","101002","224","300","1000","100"
"35","101002","225","300","1000","100"
"36","101002","226","300","1000","100"
"37","101002","227","300","1000","100"
"38","101002","228","300","1000","100"
"39","101002","231","119","1000","100"
"40","101002","232","15","1000","100"
"41","101002","233","119","1000","100"
"42","101002","234","15","1000","100"
"43","101002","235","119","1000","100"
"44","101002","236","15","1000","100"
"45","102001","202","133","500","150"
"46","102001","203","19","500","150"
"47","102001","205","220","500","150"
"48","102001","206","220","500","150"
"49","102001","208","220","500","150"
"50","102001","215","220","500","150"
"51","102001","209","220","500","150"
"52","102001","210","220","500","150"
"53","102001","211","440","500","150"
"54","102001","212","440","500","150"
"55","102001","243","440","500","150"
"56","102001","222","19","500","150"
"57","102001","214","19","500","150"
"58","102001","213","220","500","150"
"59","102001","216","220","500","150"
"60","102001","221","220","500","150"
"61","102002","202","133","500","150"
"62","102002","203","19","500","150"
"63","102002","205","220","500","150"
"64","102002","206","220","500","150"
"65","102002","208","220","500","150"
"66","102002","215","220","500","150"
"67","102002","209","220","500","150"
"68","102002","210","220","500","150"
"69","102002","211","440","500","150"
"70","102002","212","440","500","150"
"71","102002","243","440","500","150"
"72","102002","222","19","500","150"
"73","102002","214","19","500","150"
"74","102002","213","220","500","150"
"75","102002","216","220","500","150"
"76","102002","221","220","500","150"
"77","102002","223","330","1000","150"
"78","102002","224","330","1000","150"
"79","102002","225","330","1000","150"
"80","102002","226","330","1000","150"
"81","102002","227","330","1000","150"
"82","102002","228","330","1000","150"
"83","102002","231","200","1000","150"
"84","102002","232","15","1000","150"
"85","102002","233","200","1000","150"
"86","102002","234","15","1000","150"
"87","102002","235","200","1000","150"
"88","102002","236","15","1000","150"
"89","103001","202","191","500","200"
"90","103001","203","28","500","200"
"91","103001","205","240","500","200"
"92","103001","206","240","500","200"
"93","103001","208","240","500","200"
"94","103001","215","240","500","200"
"95","103001","209","240","500","200"
"96","103001","210","240","500","200"
"97","103001","211","480","500","200"
"98","103001","212","480","500","200"
"99","103001","243","480","500","200"
"100","103001","222","28","500","200"
"101","103001","214","28","500","200"
"102","103001","213","240","500","200"
"103","103001","216","240","500","200"
"104","103001","221","240","500","200"
"105","103002","202","191","500","200"
"106","103002","203","28","500","200"
"107","103002","205","240","500","200"
"108","103002","206","240","500","200"
"109","103002","208","240","500","200"
"110","103002","215","240","500","200"
"111","103002","209","240","500","200"
"112","103002","210","240","500","200"
"113","103002","211","480","500","200"
"114","103002","212","480","500","200"
"115","103002","243","480","500","200"
"116","103002","222","28","500","200"
"117","103002","214","28","500","200"
