"#name ExchangeShop","#unique id","#index shopId round productId ","#collector shopId round","","","","","","","","",""
"id","shopId","round","productId","product","condition","limitType","limit","cost","freeTimes","advertising","closeDay"
"int","int","int","int","reward","keyv","int","int","cost","int","int","int"
"*","*","*","*","*","*","*","*","*","*","*","*"
"序号","商店ID","期数","商品ID","商品内容","开启条件","限购类型","最大兑换次数","兑换消耗","免费次数","广告次数","开服x天消失"
"1","10001","1","1","1040001#20","0#0","0","1","8#3000","0","0","0"
"2","10001","1","2","1040002#20","0#0","0","1","8#2000","0","0","0"
"3","10001","1","3","1040003#20","0#0","0","1","8#2000","0","0","0"
"4","10001","1","4","1040004#20","0#0","0","1","8#3000","0","0","0"
"5","10001","1","5","1040005#20","0#0","0","1","8#4000","0","0","0"
"6","10001","1","6","1040009#20","0#0","0","1","8#2000","0","0","0"
"7","10001","1","7","1040011#20","0#0","0","1","8#2000","0","0","0"
"8","10001","1","8","1040012#20","0#0","0","1","8#4500","0","0","0"
"9","10001","1","9","1040013#20","0#0","0","1","8#2500","0","0","0"
"10","10001","1","10","1040014#20","0#0","0","1","8#1800","0","0","0"
"11","10001","1","11","1030001#15","0#0","0","2","8#600","0","0","0"
"12","10001","1","12","1030002#15","0#0","0","2","8#500","0","0","0"
"13","10001","1","13","1030003#15","0#0","0","2","8#500","0","0","0"
"14","10001","1","14","1030012#15","0#0","0","2","8#500","0","0","0"
"15","10001","1","15","1030017#15","0#0","0","2","8#500","0","0","0"
"16","10001","1","16","1030018#15","0#0","0","2","8#500","0","0","0"
"17","10001","1","17","1030020#15","0#0","0","2","8#800","0","0","0"
"18","10001","1","18","1020001#10","0#0","0","3","8#250","0","0","0"
"19","10001","1","19","1020004#10","0#0","0","3","8#250","0","0","0"
"20","10001","1","20","1020007#10","0#0","0","3","8#250","0","0","0"
"21","10001","1","21","1010003#5","0#0","0","6","8#100","0","0","0"
"22","10001","1","22","1010004#5","0#0","0","6","8#100","0","0","0"
"23","10001","1","23","1010005#5","0#0","0","6","8#100","0","0","0"
"24","10002","1","1","2003001#1","2#20","0","6","2000004#1000","0","0","0"
"25","10002","1","2","2003002#1","2#30","0","6","2000004#2000","0","0","0"
"26","10002","1","3","2003003#1","2#40","0","6","2000004#3000","0","0","0"
"27","10002","1","4","2003004#1","2#50","0","6","2000004#4000","0","0","0"
"28","10002","1","5","2000005#2","2#60","0","999","2000004#1000","0","0","0"
"29","10002","1","6","2003005#1","2#60","0","6","2000005#100","0","0","0"
"30","10002","1","7","2003006#1","2#60","0","6","2000005#100","0","0","0"
"31","10002","1","8","2003007#1","2#60","0","6","2000005#100","0","0","0"
"32","10002","1","9","2003008#1","2#60","0","6","2000005#100","0","0","0"
"33","10002","1","10","2003009#1","2#60","0","6","2000005#100","0","0","0"
"34","10002","1","11","2003010#1","2#60","0","6","2000005#100","0","0","0"
"35","10004","1","1","1#100","","0","5","10#50","0","0","0"
"36","10004","1","2","2000003#1","","0","5","10#50","0","0","0"
"37","10004","1","3","1030008#100","5#5","0","1","10#300","0","0","0"
"38","10004","1","4","2000001#1","5#10","0","1","10#500","0","0","0"
"39","10004","1","5","1040001#100","5#15","0","1","10#1200","0","0","0"
"40","10004","1","6","3003047#1","5#20","0","1","10#1800","0","0","0"
"41","10004","1","7","1030008#100","5#25","0","1","10#300","0","0","0"
"42","10004","1","8","3003057#1","5#30","0","1","10#2000","0","0","0"
"43","10004","1","9","1040001#100","5#35","0","1","10#1200","0","0","0"
"44","10004","1","10","3004047#1","5#40","0","1","10#2400","0","0","0"
"45","10004","1","11","1030008#100","5#45","0","1","10#300","0","0","0"
"46","10004","1","12","3004057#1","5#50","0","1","10#2700","0","0","0"
"47","10004","1","13","1040001#100","5#55","0","1","10#1200","0","0","0"
"48","10004","1","14","3005047#1","5#60","0","1","10#3200","0","0","0"
"49","10004","1","15","1030008#100","5#65","0","1","10#300","0","0","0"
"50","10004","1","16","3005057#1","5#70","0","1","10#3600","0","0","0"
"51","10004","1","17","1040001#100","5#75","0","1","10#1200","0","0","0"
"52","10004","1","18","3005057#1","5#80","0","0","10#3600","0","0","0"
"53","10004","2","1","1#100","","0","5","10#50","0","0","0"
"54","10004","2","2","2000003#1","","0","5","10#50","0","0","0"
"55","10004","2","3","1030015#100","5#5","0","1","10#300","0","0","0"
"56","10004","2","4","2000001#1","5#10","0","1","10#500","0","0","0"
"57","10004","2","5","1040007#100","5#15","0","1","10#1200","0","0","0"
"58","10004","2","6","3003047#1","5#20","0","1","10#1800","0","0","0"
"59","10004","2","7","1030015#100","5#25","0","1","10#300","0","0","0"
"60","10004","2","8","3003057#1","5#30","0","1","10#2000","0","0","0"
"61","10004","2","9","1040007#100","5#35","0","1","10#1200","0","0","0"
"62","10004","2","10","3004047#1","5#40","0","1","10#2400","0","0","0"
"63","10004","2","11","1030015#100","5#45","0","1","10#300","0","0","0"
"64","10004","2","12","3004057#1","5#50","0","1","10#2700","0","0","0"
"65","10004","2","13","1040007#100","5#55","0","1","10#1200","0","0","0"
"66","10004","2","14","3005047#1","5#60","0","1","10#3200","0","0","0"
"67","10004","2","15","1030015#100","5#65","0","1","10#300","0","0","0"
"68","10004","2","16","3005057#1","5#70","0","1","10#3600","0","0","0"
"69","10004","2","17","1040007#100","5#75","0","1","10#1200","0","0","0"
"70","10004","2","18","3005057#1","5#80","0","0","10#3600","0","0","0"
"71","10004","3","1","1#100","","0","5","10#50","0","0","0"
"72","10004","3","2","2000003#1","","0","5","10#50","0","0","0"
"73","10004","3","3","1030005#100","5#5","0","1","10#300","0","0","0"
"74","10004","3","4","2000001#1","5#10","0","1","10#500","0","0","0"
"75","10004","3","5","1040006#100","5#15","0","1","10#1200","0","0","0"
"76","10004","3","6","3003047#1","5#20","0","1","10#1800","0","0","0"
"77","10004","3","7","1030005#100","5#25","0","1","10#300","0","0","0"
"78","10004","3","8","3003057#1","5#30","0","1","10#2000","0","0","0"
"79","10004","3","9","1040006#100","5#35","0","1","10#1200","0","0","0"
"80","10004","3","10","3004047#1","5#40","0","1","10#2400","0","0","0"
